_NAME_;_MODEL_;_SKU_
Протирочный материал Veiro Professional Comfort 2-слойный в рулоне 175 метров с центральной вытяжкой синего цвета;12-0445;12-0445
Протирочная бумага Tork, трехслойная, голубая, 255 метров;12-0452;12-0452
Протирочная бумага Tork Reflex™ Plus, двухслойная, 151 метр, с центральной вытяжкой;12-0480;12-0480
Полотенца бумажные Veiro Professional Comfort 1-слойные в рулоне 200 метров;12-0481;12-0481
Салфетки диспенсерные Veiro Comfort, 2-слойные, сложение 1/2, 16,2х21 см, 220 листов в пачке, 15 пачек в коробке;12-0482;12-0482
Салфетки бумажные 24х24 см, 1-слойные, бордовые, 400 листов в упаковке;12-0497;12-0497
Салфетки бумажные 24х24 см, 1-слойные, желтые, 400 листов в упаковке;12-0498;12-0498
Салфетки бумажные 24х24 см, 1-слойные, 400 листов в упаковке, зеленые;12-0499;12-0499
Салфетки бумажные 24х24 см, 1-слойные, красные, 400 листов в упаковке;12-0500;12-0500
Салфетки бумажные 24х24 см, 1-слойные, оранжевые, 400 листов в упаковке;12-0501;12-0501
Салфетки бумажные 24х24 см, 1-слойные, синие, 400 листов в упаковке;12-0502;12-0502
Салфетки бумажные 24х24 см, 1-слойные, шампань, 400 листов в упаковке, в коробке 12 упаковок;12-0503;12-0503
Салфетки бумажные 24х24 см, 1-слойные, белые, 400 листов в упаковке;12-0504;12-0504
Полотенца бумажные Veiro Premium, Z-сложения, двухслойные, 200 л/пачка белое (раствор. в воде) 24х21,6 см *21;12-0506;12-0506
Салфетки бумажные для настольных диспенсеров 18х17 см, 1-слойные, белые, 200 листов в упаковке, в коробке 48 упаковок;12-0507;12-0507
Протирочная бумага Tork, трехслойная, голубая, 119 метров, 2 рулона в упаковке;12-0511;12-0511
Полотенца бумажные Veiro Classic 2-слойные в рулонах белые 2 рулона в упаковке;12-0516;12-0516
Полотенца бумажные Tork Reflex, однослойные, 270 метров, с центральной вытяжкой;12-0525;12-0525
Полотенца бумажные Tork Reflex, однослойные, 113,9 метров, с центральной вытяжкой;12-0527;12-0527
Туалетная бумага Сотка, 1-слойная, на втулке, 30 штук в упаковке;12-0528;12-0528
Салфетка косметическая Tork Premium, 21х20, 2 слоя, 100 л, ультрамягкая, в кубе;12-0540;12-0540
Салфетки бумажные 24х24 см, 2-слойные, бордовые, 250 листов в упаковке;12-0555;12-0555
Косметические салфетки Tork для лица;12-0557;12-0557
Салфетки бумажные 33х33 см, 1-слойные, синие, 400 листов в упаковке;12-0562;12-0562
Полотенца бумажные 1-слойные в рулоне 200 метров с центральной вытяжкой;12-0563;12-0563
Салфетки бумажные 24х24 см, 2-слойные, красные, 250 листов в упаковке;12-0567;12-0567
Ватные палочки Пумпоша в стакане 200 штук;12-0574;12-0574
Полотенца бумажные Optiline, 2-слойные, в рулонах, белые, 2 рулона в упаковке;12-0576;12-0576
Протирочная бумага Tork повышенной прочности, двухслойная, 340 метров;12-0577;12-0577
Влажная салфетка Optiline в индивидуальной упаковке освежающая с ароматом лимона и мяты, 500 штук;12-0580;12-0580
Полотенца бумажные Veiro Professional Basic 1-слойные в рулоне 180 метров;12-0591;12-0591
Полотенца бумажные Veiro Professional Comfort  2-слойные в рулоне 150 метров;12-0592;12-0592
Полотенца бумажные Veiro Professional Premium 2-слойные в рулоне 160 метров;12-0594;12-0594
Полотенца бумажные Veiro Professional Comfort  2-слойные в рулоне 180 метров;12-0595;12-0595
Туалетная бумага Veiro Classic 2-слойная белая 17,5 м (4 рулона в упаковке);12-0597;12-0597
Полотенца бумажные Veiro Professional Comfort 2-слойные в рулонах белые 4 рулона в упаковке;12-0603;12-0603
Салфетки бумажные 24х24 см, 2-слойные, синие, 250 листов в упаковке, в коробке 18 упаковок;12-0612;12-0612
Туалетная бумага натуральная, 420 метров, 1-слойная, 6 штук в упаковке;12-0642;12-0642
Полотенце бумажное V-сложения, 1 слойное, 22,5х22,5 cм *20;12-0643;12-0643
Туалетная бумага PROtissue Premium, 2-слойная, 170 метров, белая, 12 рулонов в упаковке;12-0654;12-0654
Полотенца бумажные PROtissue, 120 метров, 1-слойные, белые, с центральной вытяжкой, 12 рулонов в упаковке;12-0658;12-0658
Полотенца бумажные с центральной вытяжкой, 1-слойные, белые, 300 м, 6 рулонов в упаковке;12-0665;12-0665
Полотенца бумажные Focus Premium V-сложения, 2-х слойные, белые, 200 листов в упаковке, 23х20,5см *15;12-0670;12-0670
Полотенца бумажные Focus Premium V-сложения, 2-х слойные, белые, 200 листов в упаковке, 23х23 см *15;12-0671;12-0671
Влажные салфетки Vestar Очищающие с антибактериальным эффектом, 120 шт, с пластиковым клапаном;12-0676;12-0676
Салфетки бумажные Tork Linstyle, 39х39 см, 1-слойные, белые, 50 листов в упаковке;12-0682;12-0682
Салфетки бумажные Tork Linstyle, 39х39 см, 1-слойные, фисташковые, 50 листов в упаковке;12-0683;12-0683
